id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2024-519439,2024-02-16,000001,Vente,320000,89,,RUE DIDEROT,2551,94300,94080,Vincennes,94,,,940800000G0122,,,11,,19,43.55,,,,,,,2,3,Dépendance,,0,,,,,,2.444047,48.850683
2024-519439,2024-02-16,000001,Vente,320000,89,,RUE DIDEROT,2551,94300,94080,Vincennes,94,,,940800000G0122,,,11,,19,43.55,,,,,,,2,2,Appartement,45,3,,,,,,2.444047,48.850683
2024-519440,2024-02-21,000001,Vente,120000,5,,RUE DU TEMPLE,1350,94370,94071,Sucy-en-Brie,94,,,94071000AH0334,,,1,27.48,10,,,,,,,,2,2,Appartement,26,2,,,,,,2.520224,48.770713
2024-519441,2024-02-14,000001,Vente,270000,54,,RUE DIDEROT,2551,94300,94080,Vincennes,94,,,940800000G0021,,,12,,13,,14,,,,,,3,2,Appartement,36,2,,,,,,2.441453,48.850529
2024-519442,2024-02-15,000001,Vente,450800,65,,RUE DU MAL FOCH,6135,94360,94015,Bry-sur-Marne,94,,,940150000I0156,,,201,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.516269,48.842713
2024-519442,2024-02-15,000001,Vente,450800,65,,RUE DU MAL FOCH,6135,94360,94015,Bry-sur-Marne,94,,,940150000I0156,,,218,70.54,,,,,,,,,1,2,Appartement,70,3,,,,,,2.516269,48.842713
2024-519443,2024-02-07,000001,Vente,195000,39,,AV RASPAIL,8115,94250,94037,Gentilly,94,,,940370000K0030,,,10,29.52,22,,,,,,,,2,2,Appartement,29,2,,,,,,2.35078,48.814178
2024-519443,2024-02-07,000001,Vente,195000,39,,AV RASPAIL,8115,94250,94037,Gentilly,94,,,940370000K0030,,,10,29.52,22,,,,,,,,2,3,Dépendance,,0,,,,,,2.35078,48.814178
2024-519444,2024-02-15,000001,Vente,75966,30,,RUE GARIBALDI,4156,94100,94068,Saint-Maur-des-Fossés,94,,,94068000CO0107,,,301,61.33,,,,,,,,,1,3,Dépendance,,0,,,,,,2.478234,48.798979
2024-519444,2024-02-15,000001,Vente,75966,30,,RUE GARIBALDI,4156,94100,94068,Saint-Maur-des-Fossés,94,,,94068000CO0107,,,301,61.33,,,,,,,,,1,1,Maison,42,3,,,,,,2.478234,48.798979
2024-519444,2024-02-15,000001,Vente,75966,30,,RUE GARIBALDI,4156,94100,94068,Saint-Maur-des-Fossés,94,,,94068000CO0107,,,301,61.33,,,,,,,,,1,3,Dépendance,,0,,,,,,2.478234,48.798979
2024-519445,2024-02-14,000001,Vente,100000,32,,RUE GARIBALDI,4156,94100,94068,Saint-Maur-des-Fossés,94,,,94068000CO0106,,,9,,,,,,,,,,1,2,Appartement,24,1,,,,,,2.478374,48.798928
2024-519446,2024-01-25,000001,Vente,195000,26,,RUE ANTOINE MARIE COLIN,0052,94400,94081,Vitry-sur-Seine,94,,,94081000CU0043,,,4,55.05,,,,,,,,,1,2,Appartement,54,3,,,,,,2.392172,48.788792
2024-519446,2024-01-25,000001,Vente,195000,26,,RUE ANTOINE MARIE COLIN,0052,94400,94081,Vitry-sur-Seine,94,,,94081000CU0043,,,52,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.392172,48.788792
2024-519446,2024-01-25,000001,Vente,195000,26,,RUE ANTOINE MARIE COLIN,0052,94400,94081,Vitry-sur-Seine,94,,,94081000CU0043,,,53,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.392172,48.788792
2024-519446,2024-01-25,000001,Vente,195000,26,,RUE ANTOINE MARIE COLIN,0052,94400,94081,Vitry-sur-Seine,94,,,94081000CU0043,,,8,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.392172,48.788792
